,price,bedrooms,bathrooms,latitude,longitude,floor_size,property_type,binned_price
1,2195000,3.0,2,-33.8275335,18.6526846,,Townhouses,12
2,3170000,4.0,2,-33.8275335,18.6526846,,Houses,18
3,1095000,2.0,1,-33.8275335,18.6526846,79.0,Flats/Apartments,6
4,2300000,3.0,2,-33.8275335,18.6526846,,Townhouses,13
5,4950000,4.0,1,-33.935255100000006,18.4265847,,Houses,27
6,2290000,3.0,2,-33.8275335,18.6526846,,Townhouses,13
7,2095000,2.0,2,-33.8275335,18.6526846,,Houses,12
8,3795000,4.0,3,-33.8275335,18.6526846,,Houses,21
9,2195000,3.0,1,-33.8222878,18.4771884,,Houses,12
10,7750000,3.0,2,-33.984508,18.455430399999997,,Houses,42
11,5250000,5.0,5,-33.8275335,18.6526846,,Houses,29
12,3200000,1.0,1,-33.912599,18.424837,55.0,Flats/Apartments,18
13,679990,2.0,1,-33.9706034,18.676282399999998,,Duplex,4
14,3200000,1.0,1,-33.912599,18.424837,55.0,Flats/Apartments,18
15,1150000,3.0,2,-33.9629739,18.681418899999997,,Houses,7
16,2599000,4.0,4,-33.870416399999996,18.687338,326.0,Houses,14
17,2500000,4.0,3,-33.8067534,18.511739000000002,,Houses,14
18,1050000,3.0,2,-33.96131629999999,18.682129999999997,,Houses,6
19,1899001,3.0,2,-33.8067534,18.511739000000002,,Houses,11
20,1850000,3.0,2,-33.8067534,18.511739000000002,,Houses,10
21,1795000,3.0,2,-33.8067534,18.511739000000002,,Houses,10
23,1739000,4.0,2,-33.9386626,18.6920731,170.0,Houses,10
25,1299000,3.0,1,-33.9386626,18.6920731,84.0,Houses,7
30,1095000,2.0,1,-33.8275335,18.6526846,79.0,Flats/Apartments,6
31,3170000,4.0,2,-33.8275335,18.6526846,,Houses,18
32,4250000,4.0,3,-33.8275335,18.6526846,,Houses,23
33,1250000,2.0,1,-33.8275335,18.6526846,,Flats/Apartments,7
34,4850000,4.0,5,-33.8275335,18.6526846,,Houses,27
35,3795000,4.0,3,-33.8275335,18.6526846,,Houses,21
36,2750000,3.0,2,-33.8275335,18.6526846,,Houses,15
37,1060000,2.0,2,-33.8275335,18.6526846,,Flats/Apartments,6
38,1026685,2.0,1,-33.8033403,18.5204668,,Flats/Apartments,6
39,679990,2.0,1,-33.9706034,18.676282399999998,,Duplex,4
40,5250000,5.0,5,-33.8275335,18.6526846,,Houses,29
41,2500000,4.0,3,-33.8067534,18.511739000000002,,Houses,14
42,2995000,5.0,6,-33.9201504,18.696246399999996,364.0,Houses,17
43,3495000,3.0,3,-33.8275335,18.6526846,,Houses,19
44,3995000,1.0,1,-33.912600299999994,18.4249576,,Flats/Apartments,22
45,1899001,3.0,2,-33.8067534,18.511739000000002,,Houses,11
46,2690000,3.0,2,-33.9201504,18.696246399999996,310.0,Houses,15
47,1950000,3.0,2,-33.818816,18.4828803,,Penthouses,11
