title,offering,price,bedrooms,bathrooms,latitude,longitude,floor_size,property_type,url
2 bedroom flat/apartment for rent,rent,16627200,2,1,-33.9090749,18.5663694,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/clva5q/
3 bedroom townhouse for sale,buy,2195000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/gwutps-sectional-title/
4 bedroom house for sale,buy,3170000,4,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/xnx42w/
2 bedroom flat/apartment for sale,buy,1095000,2,1,-33.8275335,18.6526846,79.0,Flats/Apartments,https://www.residentialpeople.com/za/property/qngh7v/
3 bedroom townhouse for sale,buy,2300000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/d76bvv/
4 bedroom house for sale,buy,4950000,4,1,-33.9352551,18.4265847,S.O.A.,Houses,https://www.residentialpeople.com/za/property/qgjkzl/
3 bedroom townhouse for sale,buy,2290000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/n5bh5p/
2 bedroom house for sale,buy,2095000,2,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/n26nng/
4 bedroom house for sale,buy,3795000,4,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/xupztn/
3 bedroom house for sale,buy,2195000,3,1,-33.8222878,18.4771884,S.O.A.,Houses,https://www.residentialpeople.com/za/property/mhdn7b/
3 bedroom house for sale,buy,7750000,3,2,-33.984508,18.4554304,S.O.A.,Houses,https://www.residentialpeople.com/za/property/fmpezo/
5 bedroom house for sale,buy,5250000,5,5,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/k7scve/
1 bedroom flat/apartment for sale,buy,3200000,1,1,-33.912599,18.424837,55.0,Flats/Apartments,https://www.residentialpeople.com/za/property/gcojl7c2-27-duncan-road-foreshore-cape-town/
2 bedroom duplex for sale,buy,679990,2,1,-33.9706034,18.6762824,S.O.A.,Duplex,https://www.residentialpeople.com/za/property/esclnh/
1 bedroom flat/apartment for sale,buy,3200000,1,1,-33.912599,18.424837,55.0,Flats/Apartments,https://www.residentialpeople.com/za/property/y22lc54d-27-duncan-road-foreshore-cape-town/
3 bedroom house for sale,buy,1150000,3,2,-33.9629739,18.6814189,S.O.A.,Houses,https://www.residentialpeople.com/za/property/h3z5xw/
4 bedroom house for sale,buy,2599000,4,4,-33.8704164,18.687338,326.0,Houses,https://www.residentialpeople.com/za/property/rgwvbcfd/
4 bedroom house for sale,buy,2500000,4,3,-33.8067534,18.511739,S.O.A.,Houses,https://www.residentialpeople.com/za/property/pqvqnc-freehold/
3 bedroom house for sale,buy,1050000,3,2,-33.9613163,18.68213,S.O.A.,Houses,https://www.residentialpeople.com/za/property/ze8gvl/
3 bedroom house for sale,buy,1899001,3,2,-33.8067534,18.511739,S.O.A.,Houses,https://www.residentialpeople.com/za/property/js34mj/
3 bedroom house for sale,buy,1850000,3,2,-33.8067534,18.511739,S.O.A.,Houses,https://www.residentialpeople.com/za/property/mkwdtq/
3 bedroom house for sale,buy,1795000,3,2,-33.8067534,18.511739,S.O.A.,Houses,https://www.residentialpeople.com/za/property/nautvv/
4 bedroom house for sale,buy,2600000,4,1,-33.995478,19.294247,S.O.A.,Houses,https://www.residentialpeople.com/za/property/h9fv7v/
4 bedroom house for sale,buy,1739000,4,2,-33.9386626,18.6920731,170.0,Houses,https://www.residentialpeople.com/za/property/m3vbzh/
3 bedroom house for sale,buy,1795000,3,2,-33.995478,19.294247,S.O.A.,Houses,https://www.residentialpeople.com/za/property/lk73xl/
3 bedroom house for sale,buy,1299000,3,1,-33.9386626,18.6920731,84.0,Houses,https://www.residentialpeople.com/za/property/rhy6sb/
3 bedroom house for sale,buy,2290000,3,2,-33.9918901,19.2915067,S.O.A.,Houses,https://www.residentialpeople.com/za/property/gqtebk/
2 bedroom house for sale,buy,1185000,2,1,-33.9918901,19.2915067,S.O.A.,Houses,https://www.residentialpeople.com/za/property/mckd5o-freehold/
title,offering,price,bedrooms,bathrooms,latitude,longitude,floor_size,property_type,url
2 bedroom flat/apartment for rent,rent,16627200,2,1,-33.9090749,18.5663694,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/clva5q/
2 bedroom flat/apartment for sale,buy,1095000,2,1,-33.8275335,18.6526846,79.0,Flats/Apartments,https://www.residentialpeople.com/za/property/qngh7v/
4 bedroom house for sale,buy,3170000,4,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/xnx42w/
